sub	RT	condition	conditionName	correct	category	repeatDist	conditionCheck	categoryNum	phase	test
5	1163	1	uniform	1	BigFam	0	1	1	ThreeItems	3
5	989	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
5	867	2	mixed	1	BigFam	0	2	1	ThreeItems	3
5	1621	1	uniform	1	BigFam	0	1	1	ThreeItems	3
5	1119	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
5	898	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
5	2483	1	uniform	1	BigFam	0	1	1	SixItems	6
5	2750	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	1769	2	mixed	1	SmallFam	0	2	2	SixItems	6
5	1473	2	mixed	1	BigFam	0	2	1	SixItems	6
5	1666	1	uniform	1	BigFam	0	1	1	SixItems	6
5	1337	2	mixed	1	BigFam	0	2	1	SixItems	6
5	1581	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	1068	2	mixed	1	SmallFam	0	2	2	SixItems	6
5	2132	2	mixed	1	BigFam	0	2	1	SixItems	6
5	1802	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	1949	1	uniform	1	BigFam	0	1	1	SixItems	6
5	1039	2	mixed	1	SmallFam	0	2	2	SixItems	6
5	2021	1	uniform	1	BigFam	0	1	1	SixItems	6
5	1705	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	2082	2	mixed	1	SmallFam	0	2	2	SixItems	6
5	2592	2	mixed	0	BigFam	0	2	1	SixItems	6
5	1054	1	uniform	1	BigFam	0	1	1	SixItems	6
5	1987	2	mixed	1	SmallFam	0	2	2	SixItems	6
5	13547	2	mixed	0	BigFam	0	2	1	SixItems	6
5	1533	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	947	1	uniform	1	BigFam	0	1	1	SixItems	6
5	1014	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	1032	2	mixed	1	SmallFam	0	2	2	SixItems	6
5	1088	2	mixed	1	BigFam	0	2	1	SixItems	6
5	1230	2	mixed	1	BigFam	0	2	1	SixItems	6
5	1375	1	uniform	1	BigFam	0	1	1	SixItems	6
5	1148	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	947	2	mixed	1	SmallFam	0	2	2	SixItems	6
5	2838	1	uniform	1	BigFam	0	1	1	SixItems	6
5	5452	2	mixed	0	SmallFam	0	2	2	SixItems	6
5	1547	2	mixed	1	BigFam	0	2	1	SixItems	6
5	2039	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	2453	1	uniform	1	BigFam	0	1	1	SixItems	6
5	2357	2	mixed	1	BigFam	0	2	1	SixItems	6
