sub	RT	correct	category	condition	conditionName	repeatDist	targetItem	conditionCheck	categoryNum	phase	test
7	1291	1	Animals	2	mixed	0	16.jpg	2	1	SixItems	6
7	1198	1	Objects	2	mixed	0	24.jpg	2	2	SixItems	6
7	2428	1	Animals	1	uniform	0	21.jpg	1	1	SixItems	6
7	1005	1	Objects	1	uniform	0	21.jpg	1	2	SixItems	6
7	1870	1	Animals	2	mixed	0	8.jpg	2	1	SixItems	6
7	1893	1	Animals	1	uniform	0	4.jpg	1	1	SixItems	6
7	1727	1	Objects	1	uniform	0	1.jpg	1	2	SixItems	6
7	1292	1	Objects	2	mixed	0	15.jpg	2	2	SixItems	6
7	1346	1	Objects	1	uniform	0	15.jpg	1	2	SixItems	6
8	22007	0	Objects	1	uniform	0	16.jpg	1	2	ThreeItems	3
8	3328	1	Animals	2	mixed	0	3.jpg	2	1	ThreeItems	3
8	1222	1	Objects	2	mixed	0	11.jpg	2	2	ThreeItems	3
8	1787	1	Animals	1	uniform	0	1.jpg	1	1	ThreeItems	3
8	1154	1	Animals	2	mixed	0	2.jpg	2	1	ThreeItems	3
8	953	1	Objects	1	uniform	0	8.jpg	1	2	ThreeItems	3
8	1054	1	Objects	2	mixed	0	6.jpg	2	2	ThreeItems	3
8	1364	1	Objects	1	uniform	0	24.jpg	1	2	ThreeItems	3
8	989	1	Objects	2	mixed	0	23.jpg	2	2	ThreeItems	3
8	1495	1	Animals	1	uniform	0	5.jpg	1	1	ThreeItems	3
8	1088	1	Animals	2	mixed	0	24.jpg	2	1	ThreeItems	3
8	955	1	Objects	2	mixed	0	2.jpg	2	2	FourItems	4
8	4733	1	Objects	1	uniform	0	17.jpg	1	2	FourItems	4
8	987	1	Animals	2	mixed	0	13.jpg	2	1	FourItems	4
8	2512	1	Animals	1	uniform	0	6.jpg	1	1	FourItems	4
8	1120	1	Objects	2	mixed	0	12.jpg	2	2	FourItems	4
8	920	1	Animals	1	uniform	0	15.jpg	1	1	SixItems	6
8	41716	0	Objects	1	uniform	0	6.jpg	1	2	SixItems	6
